dataset,hparams,warmup,decay,width,depth,val/loss,val/loss_std,train/loss,train/batch_time,train/data_time,train/lr,warmup_tokens,beta1,beta2,world_size,lr,seed,seq_len,vocab_size,grad_clip_norm,optimizer,precision,qk_norm,z_loss_coefficient,bs,independent_wd,max_step,ckpt_path,params_active,params_active_precise,params_no_embed,params_all,flops_per_token_att_no_embed,flops_per_token_att,flops_per_token_cc,flops_per_token_no_att,flops_per_token_no_att_no_embed,flops_per_token,params,eff_params_att,train/loss_smoothed,total_steps,D,current_steps,portion_steps_elapsed,last_train/loss_smoothed_C,last_train/loss_smoothed_D,last_train/loss_smoothed,N,C,loss,N_no_emb,C_no_emb,C_6ND
rw,base,short,chinchilla,160.0,5.0,"step
25    7.632954
Name: val/loss, dtype: float64","step
25    0.001436
Name: val/loss_std, dtype: float64","step
20    8.588084
Name: train/loss, dtype: float64","step
20    0.815965
Name: train/batch_time, dtype: float64","step
20    0.035169
Name: train/data_time, dtype: float64","step
20    0.000426
Name: train/lr, dtype: float64",2452480,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,20,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=9M_maxstep=20,9605120.0,9809920.0,1740800.0,18001920.0,20275200.0,68689920.0,77661120.0,58859520.0,10444800.0,58859520.0,9809920.0,11448320.0,"5242880.0    8.588084
Name: _smoothed, dtype: float64",10.0,5242880.0,10.0,1.0,308593400217600.0,5242880.0,8.588083505630493,9809920,308593400217600.0,8.588083505630493,1740800.0,54760833024000.0,308593400217600.0
rw,base,short,chinchilla,128.0,4.0,"step
265    5.712266
529    5.491193
Name: val/loss, dtype: float64","step
265    0.001455
529    0.001419
Name: val/loss_std, dtype: float64","step
20     9.314652
40     7.481157
60     6.973650
80     6.691338
100    6.518205
120    6.369324
140    6.247602
160    6.128784
180    6.037778
189    5.978050
200    5.917760
220    5.865297
240    5.809078
260    5.758960
276    5.699340
280    5.692948
300    5.672180
320    5.630316
340    5.603015
360    5.576518
380    5.552540
396    5.528990
400    5.546833
420    5.524634
440    5.510754
460    5.495319
480    5.499320
500    5.489404
517    5.484358
520    5.492801
Name: train/loss, dtype: float64","step
20     0.758576
40     0.673393
60     0.672255
80     0.672293
100    0.672104
120    0.672321
140    0.677523
160    0.672237
180    0.672096
189    0.672773
200    0.707744
220    0.672652
240    0.672960
260    0.672804
276    0.679363
280    0.777118
300    0.673551
320    0.673272
340    0.672567
360    0.672464
380    0.673055
396    0.672443
400    0.781690
420    0.674145
440    0.673664
460    0.674156
480    0.674048
500    0.673967
517    0.674032
520    0.812191
Name: train/batch_time, dtype: float64","step
20     0.031689
40     0.014400
60     0.013124
80     0.013301
100    0.013126
120    0.013372
140    0.018714
160    0.013295
180    0.013152
189    0.013720
200    0.047809
220    0.012885
240    0.013328
260    0.013152
276    0.020022
280    0.116696
300    0.013924
320    0.013654
340    0.013498
360    0.013288
380    0.013602
396    0.013346
400    0.121121
420    0.014156
440    0.013960
460    0.014228
480    0.014258
500    0.014165
517    0.014214
520    0.151071
Name: train/data_time, dtype: float64","step
20     0.002999
40     0.002981
60     0.002942
80     0.002881
100    0.002800
120    0.002700
140    0.002583
160    0.002449
180    0.002302
189    0.002231
200    0.002142
220    0.001974
240    0.001799
260    0.001619
276    0.001474
280    0.001438
300    0.001258
320    0.001082
340    0.000912
360    0.000752
380    0.000602
396    0.000493
400    0.000467
420    0.000346
440    0.000244
460    0.000160
480    0.000096
500    0.000053
517    0.000034
520    0.000032
Name: train/lr, dtype: float64",7503872,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,520,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=7M_maxstep=520,7241728.0,7503872.0,1048576.0,13959168.0,12582912.0,51314688.0,56328960.0,45023232.0,6291456.0,45023232.0,7503872.0,8552448.0,"5242880.0      9.314652
15728640.0     7.481157
26214400.0     6.973650
36700160.0     6.691338
47185920.0     6.518205
57671680.0     6.369324
68157440.0     6.247602
78643200.0     6.128784
89128960.0     6.037778
96731136.0     5.978050
101974016.0    5.917760
110100480.0    5.865297
120586240.0    5.809078
131072000.0    5.758960
140509184.0    5.699340
145752064.0    5.692948
152043520.0    5.672180
162529280.0    5.630316
173015040.0    5.603015
183500800.0    5.576518
193986560.0    5.552683
203423744.0    5.542788
208666624.0    5.533486
214958080.0    5.527407
225443840.0    5.510236
235929600.0    5.501798
246415360.0    5.494681
256901120.0    5.491027
266600448.0    5.488854
271450112.0    5.488579
Name: _smoothed, dtype: float64",517.75,271450112.0,517.75,1.0,1.2221561369001984e+16,271450112.0,5.488579291923372,7503872,1.2221561369001984e+16,5.488579291923372,1048576.0,1707816435843072.0,1.2221561369001984e+16
rw,base,short,chinchilla,128.0,4.0,"step
33    7.579809
Name: val/loss, dtype: float64","step
33    0.001476
Name: val/loss_std, dtype: float64","step
20    8.925325
Name: train/loss, dtype: float64","step
20    0.759813
Name: train/batch_time, dtype: float64","step
20    0.032411
Name: train/data_time, dtype: float64","step
20    0.001515
Name: train/lr, dtype: float64",3751936,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,20,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=7M_maxstep=20,7241728.0,7503872.0,1048576.0,13959168.0,12582912.0,51314688.0,56328960.0,45023232.0,6291456.0,45023232.0,7503872.0,8552448.0,"5242880.0    8.925325
Name: _smoothed, dtype: float64",10.0,5242880.0,10.0,1.0,236051402588160.0,5242880.0,8.925324654579162,7503872,236051402588160.0,8.925324654579162,1048576.0,32985348833280.0,236051402588160.0
rw,base,short,chinchilla,96.0,3.0,"step
191    6.462952
Name: val/loss, dtype: float64","step
191    0.001712
Name: val/loss_std, dtype: float64","step
20     9.364089
40     7.633119
60     7.202620
80     6.877053
100    6.696931
120    6.591639
140    6.533267
160    6.489259
180    6.477992
189    6.484142
Name: train/loss, dtype: float64","step
20     0.729266
40     0.644673
60     0.643378
80     0.642127
100    0.642795
120    0.642718
140    0.642805
160    0.642125
180    0.642792
189    0.642273
Name: train/batch_time, dtype: float64","step
20     0.031811
40     0.015164
60     0.013816
80     0.013288
100    0.013578
120    0.013589
140    0.013666
160    0.013181
180    0.013624
189    0.013391
Name: train/data_time, dtype: float64","step
20     0.002973
40     0.002792
60     0.002461
80     0.002018
100    0.001515
120    0.001012
140    0.000569
160    0.000238
180    0.000057
189    0.000031
Name: train/lr, dtype: float64",5173248,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,189,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=5M_maxstep=189,5173248.0,5173248.0,331776.0,10211328.0,5529600.0,34578432.0,38339136.0,31039488.0,1990656.0,31039488.0,5173248.0,5763072.0,"5242880.0     9.364089
15728640.0    7.633119
26214400.0    7.202620
36700160.0    6.877053
47185920.0    6.696931
57671680.0    6.591639
68157440.0    6.533267
78643200.0    6.489259
89128960.0    6.477992
96731136.0    6.484142
Name: _smoothed, dtype: float64",184.5,96731136.0,184.5,1.0,3002484935098368.0,96731136.0,6.484142091539169,5173248,3002484935098368.0,6.484142091539169,331776.0,192558416265216.0,3002484935098368.0
rw,base,short,chinchilla,128.0,4.0,"step
133    6.273508
264    6.016995
Name: val/loss, dtype: float64","step
133    0.001595
264    0.001534
Name: val/loss_std, dtype: float64","step
20     9.314667
40     7.481946
60     6.978072
80     6.699315
100    6.534658
120    6.399100
140    6.295783
160    6.201772
180    6.141292
189    6.111803
200    6.063877
220    6.046733
240    6.033984
260    6.028617
Name: train/loss, dtype: float64","step
20     0.759518
40     0.674072
60     0.672848
80     0.672904
100    0.673118
120    0.672710
140    0.679585
160    0.672828
180    0.673507
189    0.673303
200    0.712180
220    0.673071
240    0.673188
260    0.673359
Name: train/batch_time, dtype: float64","step
20     0.031936
40     0.014614
60     0.013692
80     0.013851
100    0.013902
120    0.013755
140    0.020609
160    0.013593
180    0.014045
189    0.013788
200    0.051629
220    0.013559
240    0.013594
260    0.013728
Name: train/data_time, dtype: float64","step
20     0.002996
40     0.002921
60     0.002759
80     0.002518
100    0.002214
120    0.001866
140    0.001496
160    0.001128
180    0.000783
189    0.000642
200    0.000485
220    0.000251
240    0.000097
260    0.000032
Name: train/lr, dtype: float64",7503872,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,260,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=7M_maxstep=260,7241728.0,7503872.0,1048576.0,13959168.0,12582912.0,51314688.0,56328960.0,45023232.0,6291456.0,45023232.0,7503872.0,8552448.0,"5242880.0      9.314667
15728640.0     7.481946
26214400.0     6.978072
36700160.0     6.699315
47185920.0     6.534658
57671680.0     6.399100
68157440.0     6.295783
78643200.0     6.201772
89128960.0     6.141292
96731136.0     6.111803
101974016.0    6.063877
110100480.0    6.046733
120586240.0    6.033984
131072000.0    6.028617
Name: _smoothed, dtype: float64",250.0,131072000.0,250.0,1.0,5901285064704000.0,131072000.0,6.028616714477536,7503872,5901285064704000.0,6.028616714477536,1048576.0,824633720832000.0,5901285064704000.0
rw,base,short,chinchilla,160.0,5.0,"step
50    7.207607
Name: val/loss, dtype: float64","step
50    0.001528
Name: val/loss_std, dtype: float64","step
20    8.867827
40    7.415150
Name: train/loss, dtype: float64","step
20    0.831566
40    0.724706
Name: train/batch_time, dtype: float64","step
20    0.031888
40    0.014867
Name: train/data_time, dtype: float64","step
20    0.002503
40    0.000445
Name: train/lr, dtype: float64",4904960,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,40,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=9M_maxstep=40,9605120.0,9809920.0,1740800.0,18001920.0,20275200.0,68689920.0,77661120.0,58859520.0,10444800.0,58859520.0,9809920.0,11448320.0,"5242880.0     8.867827
15728640.0    7.415150
Name: _smoothed, dtype: float64",30.0,15728640.0,30.0,1.0,925780200652800.0,15728640.0,7.415149641036988,9809920,925780200652800.0,7.415149641036988,1740800.0,164282499072000.0,925780200652800.0
rw,base,short,chinchilla,224.0,6.0,"step
128    6.198435
254    5.831709
Name: val/loss, dtype: float64","step
128    0.001621
254    0.001505
Name: val/loss_std, dtype: float64","step
20     9.238247
40     7.454822
60     6.919647
80     6.653259
100    6.479248
120    6.319136
140    6.190041
160    6.068856
180    5.985324
189    5.943207
200    5.889677
220    5.863945
240    5.848101
Name: train/loss, dtype: float64","step
20     0.880743
40     0.786928
60     0.785808
80     0.792747
100    0.786429
120    0.786116
140    0.794355
160    0.786358
180    0.786263
189    0.786125
200    0.823579
220    0.785620
240    0.785347
Name: train/batch_time, dtype: float64","step
20     0.031983
40     0.015819
60     0.014409
80     0.021357
100    0.015122
120    0.014916
140    0.022917
160    0.015184
180    0.015206
189    0.015138
200    0.051906
220    0.014356
240    0.014121
Name: train/data_time, dtype: float64","step
20     0.002172
40     0.002983
60     0.002863
80     0.002639
100    0.002328
120    0.001954
140    0.001546
160    0.001136
180    0.000755
189    0.000601
200    0.000432
220    0.000194
240    0.000058
Name: train/lr, dtype: float64",15597568,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,240,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=15M_maxstep=240,14909440.0,15597568.0,4300800.0,26664960.0,42319872.0,110100480.0,122930496.0,93585408.0,25804800.0,93585408.0,15597568.0,18350080.0,"5242880.0      9.238247
15728640.0     7.454822
26214400.0     6.919647
36700160.0     6.653259
47185920.0     6.479248
57671680.0     6.319136
68157440.0     6.190041
78643200.0     6.068856
89128960.0     5.985324
96731136.0     5.943207
101974016.0    5.889677
110100480.0    5.863945
120586240.0    5.848101
Name: _smoothed, dtype: float64",230.0,120586240.0,230.0,1.0,1.128511246958592e+16,120586240.0,5.848101258277893,15597568,1.128511246958592e+16,5.848101258277893,4300800.0,3111703805952000.0,1.128511246958592e+16
rw,base,short,chinchilla,224.0,6.0,"step
31    7.4162
Name: val/loss, dtype: float64","step
31    0.001534
Name: val/loss_std, dtype: float64","step
20    8.528211
Name: train/loss, dtype: float64","step
20    0.870444
Name: train/batch_time, dtype: float64","step
20    0.031223
Name: train/data_time, dtype: float64","step
20    0.001321
Name: train/lr, dtype: float64",3899392,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,20,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=15M_maxstep=20,14909440.0,15597568.0,4300800.0,26664960.0,42319872.0,110100480.0,122930496.0,93585408.0,25804800.0,93585408.0,15597568.0,18350080.0,"5242880.0    8.528211
Name: _smoothed, dtype: float64",10.0,5242880.0,10.0,1.0,490657063895040.0,5242880.0,8.528210973739624,15597568,490657063895040.0,8.528210973739624,4300800.0,135291469824000.0,490657063895040.0
rw,base,short,chinchilla,96.0,3.0,"step
47    7.582078
Name: val/loss, dtype: float64","step
47    0.001429
Name: val/loss_std, dtype: float64","step
20    9.368064
40    7.692364
Name: train/loss, dtype: float64","step
20    0.728394
40    0.642797
Name: train/batch_time, dtype: float64","step
20    0.031208
40    0.013758
Name: train/data_time, dtype: float64","step
20    0.002427
40    0.000272
Name: train/lr, dtype: float64",5173248,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,40,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=5M_maxstep=40,5173248.0,5173248.0,331776.0,10211328.0,5529600.0,34578432.0,38339136.0,31039488.0,1990656.0,31039488.0,5173248.0,5763072.0,"5242880.0     9.368064
15728640.0    7.692364
Name: _smoothed, dtype: float64",30.0,15728640.0,30.0,1.0,488208932536320.0,15728640.0,7.69236421585083,5173248,488208932536320.0,7.69236421585083,331776.0,31310311587840.0,488208932536320.0
rw,base,short,chinchilla,128.0,4.0,"step
66    7.05984
Name: val/loss, dtype: float64","step
66    0.001587
Name: val/loss_std, dtype: float64","step
20    9.314737
40    7.504911
60    7.145856
Name: train/loss, dtype: float64","step
20    0.758835
40    0.674556
60    0.674304
Name: train/batch_time, dtype: float64","step
20    0.031337
40    0.014932
60    0.014472
Name: train/data_time, dtype: float64","step
20    0.002903
40    0.001515
60    0.000127
Name: train/lr, dtype: float64",7503872,0.9,0.95,4,0.003,0.0,2048.0,50432.0,True,adamw,amp_bfloat16,True,0.0001,256.0,0.0001,60,dataset=rw/hparams=base_warmup=short_decay=chinchilla/params=7M_maxstep=60,7241728.0,7503872.0,1048576.0,13959168.0,12582912.0,51314688.0,56328960.0,45023232.0,6291456.0,45023232.0,7503872.0,8552448.0,"5242880.0     9.314737
15728640.0    7.504911
26214400.0    7.145856
Name: _smoothed, dtype: float64",50.0,26214400.0,50.0,1.0,1180257012940800.0,26214400.0,7.145856118202211,7503872,1180257012940800.0,7.145856118202211,1048576.0,164926744166400.0,1180257012940800.0
